Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,X-trail,2007,No,$750,"150,380",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430074/2007-nissan-x-trail-station-wagon?referringPage=SearchResults
Toyota,Aqua,2013,No,$0,"121,380",," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007430080/2013-toyota-aqua-hatch?referringPage=SearchResults
Renault,Koleos,2015,No,$950,"101,429",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007430085/2015-renault-koleos-2-0-4x4-2-0d-4wd-6a-station-wagon?referringPage=SearchResults
Suzuki,Swift,2020,No,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430096/2020-suzuki-swift-glc-1-2p-cvt-hatch?referringPage=SearchResults
Mazda,Axela,2007,No,$700,"237,055",," Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430106/2007-mazda-axela-hatch?referringPage=SearchResults
Suzuki,Swift,2009,Yes,"$1,650","173,908",," Right Front Damage, Right Rear Damage, Structural Damage, Selling Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440150/2009-suzuki-swift-hatch?referringPage=SearchResults
Nissan,Wingroad,1997,No,$600,"145,723",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440161/1997-nissan-wingroad-station-wagon?referringPage=SearchResults
Ford,Territory,2011,No,$700,"155,651",," Left Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440162/2011-ford-territory-station-wagon?referringPage=SearchResults
Toyota,Landcruiser,1998,No,"$5,050","231,643",," Front Damage, Left Side Damage, Roof Damage, Right Side Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440186/1998-toyota-landcruiser-station-wagon?referringPage=SearchResults
Hyundai,I30,2012,Yes,$650,N/A,," Right Front Damage, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440190/2012-hyundai-i30-gd-1-6-crdi-elite-a-hatch?referringPage=SearchResults
