Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
FACTORY BUILT,Viva,2023,Yes,$0,"3,649",," Front Damage, Selling Registered","Automatic,",2.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390090/2023-factory-built-viva-city-master-motorcycle?referringPage=SearchResults
Toyota,Yaris,2018,No,"$1,300","141,437",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400148/2018-toyota-yaris-gx-1-3p-4at-hatch?referringPage=SearchResults
Toyota,Aqua,2017,No,"$1,300",,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007400159/2017-toyota-aqua-hatch?referringPage=SearchResults
Isuzu,MU,1994,No,$300,"199,361",," Front Damage, Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",4.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007400178/1994-isuzu-mu-station-wagon?referringPage=SearchResults
Kawasaki,ex,2020,Yes,$0,"52,293",," Left Side Damage, Right Side Damage, Selling Registered","Manual,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400182/2020-kawasaki-ex-400glf-motorcycle?referringPage=SearchResults
Toyota,Yaris,2013,No,$850,"115,743",," Left Side Damage, Vandalised - Interior, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400225/2013-toyota-yaris-yr-1-3p-hatch5-4a-hatch?referringPage=SearchResults
Honda,Civic,2012,No,$200,"134,493",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007380226/2012-honda-civic-l-1-8p-5at-hatch?referringPage=SearchResults
Dodge.,Caliber,2007,No,$600,,," Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400236/2007-dodge-caliber-station-wagon?referringPage=SearchResults
Land Rover,Range Rover,2014,No,,,," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400240/2014-land-rover-range-rover-station-wagon?referringPage=SearchResults
Mitsubishi,ASX,2022,No,,"160,249",, Right Rear Damage,"CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410292/2022-mitsubishi-asx-ls-2-0p-cvt-4d-station-wagon?referringPage=SearchResults
FORZA,Ciclone,2022,No,$0,"6,099",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400326/2022-forza-ciclone-scooter?referringPage=SearchResults
Ford,Falcon,2011,No,$0,"193,088",," Front Damage, Dismantled - Engine, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400369/2011-ford-falcon-fg-xr6-sedan-a-sedan?referringPage=SearchResults
Audi,A4,2009,No,$850,,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390405/2009-audi-a4-2-0t-quattro-sedan?referringPage=SearchResults
Toyota,Probox,2002,Yes,$475,"205,017",," Interior Damage, Stolen & Recovered, Selling Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390434/2002-toyota-probox-dx-station-wagon?referringPage=SearchResults
Toyota,Estima,2009,No,"$1,300",,," Left Front Damage, Left Side Damage, Dismantled - Interior, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400443/2009-toyota-estima-station-wagon?referringPage=SearchResults
Lexus,GS430,2005,No,$500,,," Left Side Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400464/2005-lexus-gs430-sedan-4-3p-v8-6a-sedan?referringPage=SearchResults
Volkswagen,Transporter,2021,No,,"16,724",," Left Rear Damage, Left Side Damage, Roof Damage, Right Front Damage, Right Side Damage, Structural Damage, Vandalized Glass Broken, Selling De-Registered","Automatic, Fuel Type, Electri",3.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000007400467/2021-volkswagen-transporter-panel-van?referringPage=SearchResults
Suzuki,UZ,2014,Yes,$0,"7,794",," Ignition Damage, Selling Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400470/2014-suzuki-uz-50d-scooter?referringPage=SearchResults
Honda,ZRV,2023,No,,"18,379",," Left Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400473/2023-honda-zrv-zrv-turbo-1-5pt-station-wagon?referringPage=SearchResults
BMW,X3,2015,No,$0,"112,678",," Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered",,5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410484/2015-bmw-x3-xdrive20d-touring?referringPage=SearchResults
Indian,Chief,2025,No,$0,,," Structural Damage, Selling De-Registered",,,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007380487/2025-indian-chief-darkhorse-motorcycle?referringPage=SearchResults
Toyota,Prius,2007,No,$400,,," Left Side Damage, Structural Damage, Selling De-Registered",,5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007400490/2007-toyota-prius-hatch?referringPage=SearchResults
Kia,RIO,2022,No,$0,"37,909",," Front Damage, Structural Damage, Selling De-Registered","4spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400491/2022-kia-rio-gt-line-1-0pt-hatch?referringPage=SearchResults
Suzuki,SX4,2010,No,$650,,," Right Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400497/2010-suzuki-sx4-hatch?referringPage=SearchResults
Nissan,Pulsar,2013,No,$650,,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400498/2013-nissan-pulsar-st-hatch?referringPage=SearchResults
