Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mitsubishi,RVR,2011,No,$0,,1.0," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180004/2011-mitsubishi-rvr-station-wagon?referringPage=SearchResults
Nissan,X-trail,2024,Yes,,"18,475",," Drives, Has Key, Selling Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190114/2024-nissan-x-trail-st-2-5p-cvt-5d-station-wagon?referringPage=SearchResults
Toyota,Caldina,2004,No,$0,,1.0," Fire Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210137/2004-toyota-caldina-station-wagon?referringPage=SearchResults
Toyota,Vanguard,2012,No,,"107,652",1.0," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210161/2012-toyota-vanguard-station-wagon?referringPage=SearchResults
BMW,7 Series,2015,No,,"159,404",1.0," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210170/2015-bmw-7-series-730ld-3-0d-8at-sl-4-sedan?referringPage=SearchResults
Isuzu,D-max,2024,No,,,1.0," Front Damage, Glass Broken, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210235/2024-isuzu-d-max-ls-double-cab-4wd-3-dual-cab-utility?referringPage=SearchResults
Toyota,Ractis,2006,Yes,$0,"75,487",1.0," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210236/2006-toyota-ractis-hatch?referringPage=SearchResults
Mazda,Premacy,2005,Yes,$0,,1.0," Front Damage, Selling Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210278/2005-mazda-premacy-station-wagon?referringPage=SearchResults
Honda,fit,2008,No,$0,"118,821",1.0," Airbags Deployed, Left Front Damage, Left Rear Damage, Left Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210281/2008-honda-fit-hatch?referringPage=SearchResults
Audi,Q7,2010,Yes,,"143,900",," Drives, Has Key, Selling Registered","Automatic,",7.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007190292/2010-audi-q7-se-tdi-quattro-auto-5d-station-wagon?referringPage=SearchResults
Mitsubishi,Triton,2013,No,,,1.0," Airbags Deployed, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210305/2013-mitsubishi-triton-utility?referringPage=SearchResults
Mitsubishi,Colt,2005,Yes,$0,"134,666",0.0," Front Damage, Glass Broken, Ignition Damage, Left Side Damage, Roof Damage, Right Side Damage, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210338/2005-mitsubishi-colt-hatch?referringPage=SearchResults
Toyota,IST,2002,Yes,$0,"196,551",1.0," Left Front Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210396/2002-toyota-ist-hatch?referringPage=SearchResults
Mazda,Demio,2009,No,$0,"107,843",0.0," Glass Broken, Interior Damage, Ignition Damage, Right Side Damage, Vandalised - Interior, Structural Damage, Stolen & Recovered, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210397/2009-mazda-demio-hatch?referringPage=SearchResults
BMW,M3,2008,No,,,1.0," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210551/2008-bmw-m3-coup%C3%A9?referringPage=SearchResults
Toyota,Yaris,2016,No,$0,"84,159",1.0," Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210568/2016-toyota-yaris-gx-1-3p-4at-ha-5dr--hatch?referringPage=SearchResults
Volkswagen,Caddy,2011,Yes,$0,,," Has Key, Dismantled - Engine, Selling Registered",,2.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180568/2011-volkswagen-caddy-maxi-van-1-2-man-van?referringPage=SearchResults
